Altium Designer Pick and Place Locations
D:\Applications\hardware\pca10056\trunk\production_files\400236_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       11.10.19
Time:       12.12
Revision:   16991
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C23","1.2pF","TopLayer","CAPC1005X04L","129.3792","39.2040","90","Capacitor, NP0, ±0.1pF"
"J1","MM8130-2600","TopLayer","COAXIAL-SWF","127.4234","38.3912","90","Coaxial Connector with Switch"
"L4","10µH","TopLayer","INDC1608X06L","110.1886","32.6674","90","Inductor, 80mA, ±10%"
"C13","N.C.","TopLayer","CAPC1005X04L","115.8386","43.7174","90","Not mounted"
"C12","100nF","TopLayer","CAPC1005X04L","117.8886","42.1674","360","Capacitor, X7R, ±10%"
"C21","4.7µF","TopLayer","CAPC1608X06L","112.5386","31.9424","270","Capacitor, X7S, ±10%, 10V"
"C20","4.7µF","TopLayer","CAPC1608X06L","111.3636","31.9424","270","Capacitor, X7R, ±10%, 6.3V"
"C19","4.7µF","TopLayer","CAPC1608X06L","109.0136","32.6674","270","Capacitor, X7S, ±10%, 10V"
"C18","12pF","TopLayer","CAPC1005X04L","108.7981","37.0518","360","Capacitor, NP0, ±2%"
"C17","12pF","TopLayer","CAPC1005X04L","106.3851","38.5504","270","Capacitor, NP0, ±2%"
"C5","100nF","TopLayer","CAPC1005X04L","109.3238","40.4554","180","Capacitor, X7R, ±10%"
"C6","4.7µF","TopLayer","CAPC1608X06L","107.6128","32.6674","270","Capacitor, X7R, ±10%, 6.3V"
"C8","100nF","TopLayer","CAPC1005X04L","118.1886","32.4924","270","Capacitor, X7R, ±10%"
"C1","12pF","TopLayer","CAPC1005X04L","121.2028","43.7128","270","Capacitor, NP0, ±2%"
"X1","32MHz","TopLayer","BT-XTAL_2016","119.4248","43.7128","180","XTAL SMD 2016, 32MHz, Cl=8pF, Tol: ±10ppm, Stab: ±15ppm"
"C9","820pF","TopLayer","CAPC1005X04L","121.0636","35.6174","360","Capacitor, NP0, ±5%"
"C7","100nF","TopLayer","CAPC1005X04L","115.4898","32.4924","270","Capacitor, X7R, ±10%"
"C2","12pF","TopLayer","CAPC1005X04L","117.6468","43.7128","90","Capacitor, NP0, ±2%"
"U1","nRF52840-QIAA","TopLayer","AQFN50P700X700X85_HS-74N","115.1636","37.6174","360","Multi-protocol Bluetooth Low Energy, IEEE 802.15.4, ANT and 2.4GHz proprietary system-on-chip"
"X2","32.768kHz","TopLayer","XTAL_3215","108.6711","38.5250","360","XTAL SMD 3215, 32.768kHz, 9pF, ±20ppm"
"C14","1.0µF","TopLayer","CAPC1608X06L","109.3636","41.4440","180","Capacitor, X7R, ±10%"
"U25","74LVC1G08","TopLayer","SOT65P210X100-5N","24.5110","10.4140","90","Single 2-Input AND Gate"
"R89","1M0","TopLayer","RESC0603X03L_C","11.7602","11.4808","90","Resistor, ±1%, 0.05W"
"Q82","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","30.5054","20.0406","360","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW"
"J6","HDR-2, 1mm","TopLayer","SM02B-SRSS-TB","3.1679","12.7762","270","1.0mm pitch connector side entry SMD"
"P27","Pin List 1x2","TopLayer","LIST_1x2-NC","8.1788","12.6746","270","Pin List 1x2, 2.54mm (100mil)"
"C64","10µF","TopLayer","CAPC1608X06L","9.9722","29.0576","180","Capacitor, X5R, ±20%"
